Book-Title,Book-Author,Year-Of-Publication,Publisher
"Windeln, Wut und wilde TrÃ¤ume: Briefe einer verhinderten Emanze (Die Frau in der Gesellschaft)",Claudia Keller,1988,Fischer Taschenbuch Verlag
Die dreizehnte Prophezeiung. ( Ab 11 J.). ErzÃ?Â¤hlung.,Valentine Ermatinger,1990,Rowohlt Tb.
Fire in the Ashes (Zebra Books),William W. Johnstone,1996,Pinnacle Books
"Penguin Readers Level 3: \The White Mountains\"" (Penguin Readers: Level 3)""",J. Christopher,1999,Penguin Longman Publishing
Hyperion,Holderlin,0,"Philipp Reclam, Jun Verlag GmbH"
"Klassische SchullektÃ?Â¼re, Klassische und moderne Kurzgeschichten",Herbert Fuchs,1999,Cornelsen
Bericht von Ursprung und Bestimmung des Menschen.,Edgar Cayce,1998,Goldmann
"Vom Gluck, Mit Der Natur Zu Leben",Holden,0,Deutscher Taschenbuch Verlag (DTV)
"Buffy, Im Bann der DÃ?Â¤monen, Die Angel Chroniken 3",Nancy Holder,2000,Vgs Verlagsges.
"Buffy, Im Bann der DÃ?Â¤monen, Die Angel Chroniken 2",Richie Tankersley,1999,Vgs Verlagsges.
"Buffy, Im Bann der DÃ?Â¤monen, Die Angel Chroniken 1",Nancy Holder,1999,Vgs Verlagsges.
Cryptography : The Science of Secret Writing,Laurence D. Smith,1955,Dover Publications
Eine Alte Dame Ging Hering. Der zweite BÃ?Â¼b- KlÃ?Â¼tsch- Roman.,Rich Schwab,2001,Kiepenheuer &amp; Witsch
Sophiechen und der Riese. ( Ab 9 J.). TheaterstÃ?Â¼cke fÃ?Â¼r Kinder.,Roald Dahl,1996,Rowohlt Tb.
Herr der Diebe,Cornelia Caroline Funke,2000,C. Dressler
Kinda (Doctor Who),Terrance Dicks,2001,London Bridge
Kein Freibier fÃ?Â¼r Matzbach.,Gisbert Haefs,1996,Goldmann
"Cascades - \Fahrenheit 451\"" (Collins Cascades)""",Ray Bradbury,1985,HarperCollins Publishers
"Blood on the Water (Vampire Files, No 6)",P. N. Elrod,1992,Ace Books
The Firework-Maker's Daughter,Philip Pullman,2001,Scholastic Signature
Male on Male Rape: The Hidden Toll of Stigma and Shame,Michael Scarce,1997,Insight Books Inc
Die zweite Foundation- Trilogie 1. Der Aufstieg der Foundation.,Gregory Benford,2000,Heyne
Disappearance of Childhood,Neil Postman,1984,Dell Publishing Company
Nothing but You: Love Stories from the New Yorker,Roger Angell,1997,Random House
Gone for Soldiers,Jeff Shaara,2001,Ballantine Books
Twelve Shots,HARRY MAZER,1998,Laurel Leaf
"Something Old, Something New: What You Didn't Know About Wedding Ceremonies, Celebrations &amp; Customs",Vera Lee,1994,Sourcebooks Inc
Making Fast Food: From the Frying Pan into the Fryer,Ester Reiter,1996,McGill-Queen's University Press
The Incredible Worlds Of Wally Mcdoogle: #18 My Life As A Busted-up Basketball Backboard,Bill Myers,2000,Thomas Nelson
Radiography in Veterinary Technology,Lisa M. Lavin,1998,W.B. Saunders Company
Pictorial Anatomy of the Cat,Stephen G. Gilbert,1975,University of Washington Press
Horse Anatomy: A Pictorial Approach to Equine Structure,Peter Goody,1999,Trafalgar Square
Bhsai Course Companion: French,French,1999,Hyperion Books
MOST SJ PERELMAN P,S.J. Perelman,1901,Fireside
Voice Power (An Owl Book),Joan Kenley,1989,Henry Holt &amp; Co
Biscuits and Scones: 62 Recipes from Breakfast Biscuits to Homey Desserts,Elizabeth Alston,1988,Clarkson N Potter Publishers
Paradise Poems,Gerald Stern,1984,Vintage Books USA
The Pancake Handbook,Stephen Siegelman,1994,Ten Speed Press
A Woman and Her God: Life -Enriching Messages Featuring (Extraordinary Women),Beth Moore,2003,Integrity Publishers
Christy Series #5: The Proposal,Catherine Marshall,1996,Thomas Nelson
Prairie Brides: 4 New Inspirational Love Stories from the North American Prairie,Linda Goodnight,2000,Barbour Publishing
Snapshots,Norma Klein,1986,Fawcett Books
Until They Bring the Streetcars Back (Mysteries &amp; Horror),Stanley Gordon West,1997,Lexington-Marshall Pub.
Off the Mangrove Coast,Louis L'Amour,2000,Bantam Books
Nada es lo que parece (Extra Alfaguara),Carmen Posadas,1997,Alfaguara
Oxford Storyland Readers,D.F. Green,1996,Oxford University Press
Button Soup (Heinemann Children's Readers),C.J. Moore,1992,Macmillan Education
Sabiduria Interior,Louise L. Hay,2002,Ediciones Urano
Barbas Jonas y los Titeres Acatarrados / Barbas Jonas and the Puppets (Espasa Juvenil),Pilar Mateos,1998,"Espasa Calpe Mexicana, S.A."
"Serase Una Vez (Espasa Juvenil, 25)",Consuelo Armijo,1997,"Espasa Calpe Mexicana, S.A."
The House at World's End,Monica Dickens,1993,Egmont Childrens Books
George Speaks (Pack),Dick King-Smith,1997,BBC Consumer Publishing
Little Wolf's Big Book of Badness and Daring Deeds,Ian Whybrow,2001,Collins
Le Petit Prince Diary With Lock (The Little Prince),Antoine de Saint-Exupery,2000,Running Press Book Publishers
Grammar,Jennifer Seidl,1993,Oxford University Press
Olvida tu pasado cambia tu futuro,Lynne D. Finney,2000,Libsa
Poetic Justice,Amanda Cross,1991,Harper Mass Market Paperbacks (Mm)
Miss Julia Hits the Road (Southern Comedy of Manners),Ann B. Ross,2004,Penguin Books
Catching Kelly,Sue Civil-Brown,2000,Avon
To See Your Face Again,Eugenia Price,1997,St. Martin's Press
You Can't Put No Boogie-Woogie on the King of Rock and Roll,LEWIS GRIZZARD,1992,Ballantine Books
A World of Light: Portraits and Celebrations,May Sarton,1988,W. W. Norton &amp; Company
The Quilting Circle,Jennifer Blake,1996,Berkley Publishing Group
Atlas of the Human Heart: A Memoir,Ariel Gore,2003,Seal Press (WA)
Off Camera: Private Thoughts Made Public (Vintage),Ted Koppel,2001,Vintage Books USA
Intentions: The Intergalactic Bathroom Enlightenment Guide,Prudence Calabrese,2002,Imprint Books
Brazzaville Beach,William Boyd,1992,Harper Mass Market Paperbacks
Games Mother Never Taught You (Corporate Gamesmanship for Women),Betty Lehan Harragan,1978,Warner Books
"I, Richard",ELIZABETH GEORGE,2003,Bantam
Stop the Train,Geraldine McCaughrean,2002,Oxford University Press
Out of Bounds (Puffin Fiction),Beverley Naidoo,2004,Puffin Books
The Runaway Soul,Harold Brodkey,1997,Henry Holt &amp; Company
Memoirs of a Midget (Twentieth-Century Classics/Oxford Paperbacks),Walter De LA Mare,1984,Oxford Univ Pr
The Relic,Eca De Queiroz,1994,Hippocrene Books
Cousin Bazilio: A Domestic Episode (Dedalus European Classics),Eca De Queiroz,2004,"Dedalus, Ltd"
The Gambler,Fyodor Dostoevsky,1997,W. W. Norton &amp; Company
Dom Casmurro (Library of Latin America),Joaquim M. Machado de Assis,1998,Oxford University Press
Walden and Other Writings of Henry David Thoreau,Henry David Thoreau,2002,Modern Library
The Posthumous Memoirs of Bras Cubas (Library of Latin America (Paperback)),Joaquim Maria Machado De Assis,1998,Oxford University Press
Watermark,Joseph Brodsky,1993,Farrar Straus Giroux
The Armies of the Night: History As a Novel/the Novel As History,Norman Mailer,1994,Plume Books
Bel-Ami (Penguin Classics),Guy De Maupassant,1975,Penguin Books
Once There Was a War (Penguin Modern Classics),John Steinbeck,2001,Penguin Books Ltd
Fatal Eggs,Bulgakov,2003,Hesperus Press
The Heart of a Dog,Mikhail Bulgakov,1999,Harvill Press
Motel Chronicles,Sam Shepard,1983,City Lights Publishers
"La poÃ©sie arabe classique: Ã©tudes textuelles (Collection Espaces mÃ©diterranÃ©ens\)""",Odette Petit,1989,Publisud
An Experiment in Criticism (Canto),C. S. Lewis,1992,Cambridge University Press
The Passions and the Interests,Albert O. Hirschman,1997,Princeton University Press
Mundo Del Fin Del Mundo (Andanzas),Luis Sepulveda,2002,Tusquets
"The Book of Disquietude: By Bernardo Soares, Assistant Bookkeeper in the City of Lisbon (Aspects of Portugal)",Fernando Pessoa,1997,University Press of New England
Um deus passeando pela brisa da tarde: Romance (O Campo da palavra),MÃ¡rio de Carvalho,1994,Caminho
Professional ADO.NET,Julian Skinner,2001,Wrox Press
"The 36-Hour Day: A Family Guide to Caring for Persons With Alzheimer's Disease, Related Dementing Illnesses, and Memory Loss in Later Life",Nancy L. Mace,1991,Johns Hopkins Univ Pr
One More River to Cross,Will Henry,1998,Leisure Books
All I Want For Christmas (By Request 2's),Kathleen Creighton,2003,Silhouette
Anatomy of a Murder (Cinema Classics),Robert Traver,2000,Random House Value Pub
Angelmouse: An Important Message,Rodney Peppe,2001,Stewart House Publishing (Canada)
"Keeping Baby Safe : Colby Agency (Harlequin Intrigue, 732)",Debra Webb,2003,Harlequin
"Dr Bodyguard (Harlequin Intrigue, 734)",Jessica Andersen,2003,Harlequin
Sons of Thunder,Cotton Smith,2003,Leisure Books
The Adventures of Comanche John,Dan Cushman,2003,Leisure Books
One Minute Can Change a Life: Sixty-Second Readings of Hope and Encouragement,Steve Goodier,2001,Life Support System Publishing
Tristram Shandy (Classics Library (NTC)),L. Sterne,2001,Lb May &amp; Assoc Inc
The Tiger Ladies: A Memoir of Kashmir,Sudha Koul,2003,Beacon Press
The Origin of Satan,Elaine Pagels,1996,Vintage Books USA
This Fish Is Loaded! the Book of Surreal and Bizarre Humour: The Book of Surreal and Bizarre Humor,Richard Glyn Jones,1991,Carol Publishing Corporation
The prostitute in progressive literature,Khalid Kishtainy,1982,Allison &amp; Busby
Subliminal Adventures in Erotic Art,Wilson Bryan Key,1992,Branden Books
The Hidden Heart of the Cosmos: Humanity and the New Story,Brian Swimme,1999,Orbis Books
Animal Farm: A Fairy Story,George Orwell,2003,Plume Books
Closely Watched Trains (European Classics),Bohumil Hrabal,1995,Northwestern
Dictionary of the Khazars: Male Version : A Lexicon Novel,Milorad Pavic,1988,Random House Inc
The Engineer of Human Souls,Josef Skvorecky,1999,Dalkey Archive Press
Car nous venons tous du pays de notre enfance,Salome,2000,Albin Michel
A la poursuite d'Octobre rouge,Tom Clancy,1990,Albin Michel
Dialogue avec des scientifiques et des sages,RenÃ?Â©e Weber,1996,Editions du Rocher
Ne pariez jamais votre tÃ?Âªte au diable et autres contes non traduits par Baudelaire,Edgar Allan Poe,1989,Gallimard
Des gens tout simples,Jicai Feng,1995,Seuil
La surproductivitÃ?Â©: RÃ?Â©cit,Sung Ok Kim,1993,Actes Sud
"L'IntÃ?Â©grale des brÃ?Â¨ves de comptoir, 1996-1997",Jean-Marie Gourio,2001,J'ai lu
The Sermons of St. Francis De Sales on Our Lady,St. Francis of Sales,1993,Tan Books &amp; Publishers
Daredevil: Predator's Smile,Christopher Golden,1996,Berkley Publishing Group
"Stronghold (Seals, No 12)",Steve MacKenzie,1989,Avon Books
"Navy Cross (Seals: The Warrior Breed, Book 4)",H. Jay Riker,1996,Avon
By Blood Alone,William C. Dietz,1999,Ace Books
Countersolar,Richard A. Lupoff,1989,Ace Books
Slob,Rex Miller,1987,New Amer Library (Mm)
Solemn Duty,Leonard B. Scott,1997,Ballantine Books
The Mutant Season,Robert Silverberg,1990,Spectra Books
Stone Shadow,Rex Miller,1989,New Amer Library
Chant,David Cross,1986,Jove Books
Stainless Steel Rat Is Born (Stainless Steel Rat Books (Paperback)),Harry Harrison,1985,Bantam Doubleday Dell
Mutant Legacy (Mutant Season Series),Karen Haber,1993,Spectra Books
V: Death Tide (Pinnacle Books Fiction),A.C. Crispin,1985,Pinnacle Books
V: The New England Resistance,Tim Sullivan,1985,St Martins Pr (Mm)
"Prisoners and Pawns (V, Book 6)",Howard Weinstein,1985,Pinnacle Books
"The Pursuit of Diana (V, Book 3)",Alan Wold,1984,St Martins Pr (Mm)
Day Seven,Jack Bickham,1990,Tor Books
Never Send Flowers,John E. Gardner,1994,Berkley Publishing Group
Strangers From the Sky (Star Trek),Margaret Wander Bonanno,1990,Star Trek
The Naked God Part 1 : Flight (Naked God),Peter F. Hamilton,2000,Aspect
Self-Coaching: How to Heal Anxiety and Depression,Joseph J.  Luciani,2001,Wiley
Follow the Blue,Brigid Lowry,2001,Allen &amp; Unwin (Australia) Pty Ltd
Norton Anthology of Short Fiction: Sixth Edition,R. V. Cassill,2000,W.W. Norton &amp; Company
The Complete Works (Oxford Shakespeare S.),William Shakespeare,1998,Oxford University Press
Im Bann der DÃ?Â¤monen.,William Sleator,1998,Dtv
Force Majeure,Bruce Wagner,1993,St Martins Pr
Pink Slip,Rita Ciresi,1998,Bantam Dell Pub Group
"Crown of Fire (Firebird Trilogy, 3)",Kathy Tyers,2000,Baker Pub Group
Astride the Wall: A Memoir 1913-1945 (National Trust Classics),Ursula Wyndham,1991,Trafalgar Square
Sex Tips For Girls,Cynthia Heimel,1983,Fireside
This Is It,Joseph Connolly,0,Faber Faber Inc
Glasshouses,Penelope Farmer,1989,Time Warner Books UK
ALL AROUND TOWN/ILL BE SEEING YOU,M H CLARK,1998,Random House UK Ltd (A Division of Random House Group)
Snap Happy,Fiona Walker,1998,Hodder &amp; Stoughton Ltd
"The Pope and the Heretic : The True Story of Giordano Bruno, the Man Who Dared to Defy the Roman Inquisition",Michael White,2002,William Morrow
Getting What You Deserve: The Adventures of Goldhawk Fights Back,Dale Goldhawk,2003,Dundurn Group
Mein Schicksal heiÃ?Â?t Kathena. Als Einhandsegler um die Welt.,Wilfried Erdmann,1999,Delius Klasing Verlag GmbH
Globetrotter Dogma: 100 Canons for Escaping the Rat Race and Exploring the World,Bruce Northam,2002,New World Library
The Red Planet,Robert A. Heinlein,1981,Del Rey Books
Just Here Trying to Save a Few Lives: Tales of Life and Death from the Er,Pamela Grim,2000,Warner Books
"Friends of the Horseclan, II (Horseclans)",Robert Adams,1989,New Amer Library (Mm)
The Legacy (Forgotten Realms),R.A. Salvatore,1992,Wizards of the Coast
New Economy Self-Development Series: Education and Career,Pauline Tai,2002,Authorhouse
Die Burg der Abenteuer. ( Ab 10 J.).,Enid Blyton,2001,Erika Klopp Verlag
Fear Street Geisterstunde. Mitternacht am Friedhofstor. ( Ab 10 J.).,R. L. Stine,2002,Loewe Verlag
1000 Gefahren. Die Juwelen von Nabooti.,R. A. Montgomery,1996,Ravensburger Buchverlag
Insel der blauen Delfine ( Delphine). ( Ab 12 J.).,Scott ODell,1998,Oetinger Verlag
Pursuit of Happiness,David G. Myers,1993,Perennial Currents
Alternatives: New Developments in the War on Breast Cancer,Rose Kushner,1985,Warner Books
The Trumpet of the Swan,E. B. White,2000,HarperCollins
The Last Battle (rpkg) (Narnia),C. S. Lewis,1994,HarperCollins
Screw Tape Letters,C. S. Lewis,1990,Spring Arbor Distributors
Days without weather,Cecil Brown,1983,Farrar Straus Giroux
The Smallest Color,Bill Roorbach,2001,Counterpoint Press
When I Was Five I Killed Myself,Howard Buten,2000,Overlook Press
Where I'm Bound : A Novel,Allen B Ballard,2000,Simon &amp; Schuster
A Blessing over Ashes : The Remarkable Odyssey of My Unlikely Brother,Adam Fifield,2000,William Morrow &amp; Company
The Boy With the Thorn in His Side: A Memoir,Keith Fleming,2000,William Morrow &amp; Company
The Confessions of Mycroft Holmes: A Paper Chase,Marcel Theroux,2001,Harcourt
Kilroy Was Here : The Best American Humor From World War II,Charles Osgood,2001,Hyperion
The Life of Insects,Victor Pelevin,1998,Farrar Straus &amp; Giroux
Born In Sin,Evelyn Coleman,2001,Atheneum/Richard Jackson Books
Different Women Dancing (Viking Mystery Suspense),Jonathan Gash,1997,Viking Books
Scar Tissue,Michael Ignatieff,1994,Farrar Straus &amp; Giroux
The Brothers: A Novel,Frederick Barthelme,1993,Penguin USA
One Day Closer to Death: Eight Stabs at Immortality,Bradley Denton,1998,St. Martin's Press
Your Name Here: Poems,John Ashbery,2000,Farrar Straus Giroux
Boogie-Woogie,Danny Moynihan,2001,Thomas Dunne Books
Trail of the Gatlings,Arthur Moore,1989,Fawcett Books
Audrey Hepburn's Neck: A Novel,Alan Brown,1996,Pocket Books
Night Chills,Dean R. Koontz,1985,Berkley Publishing Group
All-Bright Court,Connie Rose Porter,1991,Houghton Mifflin
Wuthering Heights (Puffin Classics),Emily Bronte,1995,Puffin Books
Der Rote Ritter. Eine Geschichte von Parzival.,Adolf Muschg,1996,Suhrkamp
Dr Schtammgascht: ErzÃ¤hlung,Ernst Burren,1977,Zytglogge Verlag
Mondfinsternis ; Der Rebell: Stoffe II/III (Diogenes Taschenbuch),Friedrich DÃ¼rrenmatt,1984,Diogenes
Broken Cord,Michael Dorris,1990,Perennial
Real Boys' Voices,William S. Pollack,2001,Penguin Books
"Mommy Dressing: A Love Story, After a Fashion",Lois Gould,1998,Random House Inc
Near-Life Experiences: The Best of Jon Carroll,Jon Carroll,1993,Chronicle Books Llc
Der Anschlag.,Tom Clancy,2002,Goldmann
"Lightsabers (Star Wars: Young Jedi Knights, Book 4)",Kevin J. Anderson,1996,Berkley Publishing Group
Star Wars. Schatten des Imperiums. Der Krieg der Sterne geht weiter.,Steve Perry,1997,Heyne
Passed on: African American Mourning Stories: A Memorial,Karla F. C. Holloway,2002,Duke University Press
The Whisper of Leaves,Craig Smith,2002,Southern Illinois University Press
Every Good and Perfect Gift: A Novel,Brenda Jernigan,2001,Harmony Books
Attitude,Barbara Babbit Kaufman,2004,Longstreet Press
Truman Copote,George Plimpton,0,Bantam Doubleday Dell
Ana Karenina,Leo Tolstoy,1996,Ediciones B
Pobre Manolito,Elvira Lindo,2001,"Alfaguara Ediciones, S.A. (Spain)"
Zalacain El Aventurero,Pio Baroja,1986,"Espasa Calpe Mexicana, S.A."
I Heard the Owl Call My Name,Margaret Craven,0,Harpercollins Publisher
Vegetarian Handbook: A Guide to Vegetarian Nutrition and Foods,Rodger P. Doyle,1979,Crown Publishers
Feral Children and Clever Animals: Reflections on Human Nature,Douglas Keith Candland,1995,Oxford University Press
Dennis the Menace: Make Believe Angel (Fawcett Gold Medal Book),Hank Ketcham,1982,Fawcett Books
The Abominable Snowman,Raymond A. Montogomery,1982,Bantam Books
The Quick,Burt Cole,1991,Harper Mass Market Paperbacks (Mm)
Target Down!,Julian Jay Savarin,1991,Harper Mass Market Paperbacks (Mm)
The Ants,Peter Tremayne,1980,Signet Books
The Benedict Arnold Connection,Joseph Dimona,1978,Dell Publishing
"REPUBLIC EMPIRE (Imperial Stars, Vol 2)",Jerry Pournelle,1987,Baen
"The Rescue (Christian Heritage Series, 1)",Nancy N. Rue,1995,Focus on the Family Publishing
"The Stowaway (Christian Heritage Series, 2)",Nancy N. Rue,1995,Focus on the Family Publishing
"The Guardian (Christian Heritage Series, 3)",Nancy Rue,1995,Baker Book House
The Threat (Christian Heritage Series),Nancy N. Rue,1998,Bethany House Publishers
Toucher,Dorothy Hewett,0,Mcphee Gribble Publish Pty Ltd
Destination Unknown,Agatha Christie,1992,Harper Mass Market Paperbacks (Mm)
The President Vanishes,Rex Stout,1982,Bantam Books
The Hand in the Glove,Rex Stout,1992,Bantam Books
A Family Affair: A Nero Wolfe Novel,Rex Stout,1975,Penguin USA
Bad for Business,Rex Stout,1982,Bantam Books
Enchanted Pilgrimage,Clifford D. Simak,1975,Berkley Publishing Group
A Choice of Gods,Clifford D. Simak,1977,Penguin Putnam~mass
Heritage of Stars,Clifford D. Simak,1978,Berkley Publishing Group
All Flesh is Grass,Clifford D. Simak,1978,Avon Books
HOUSE STOOD STILL,A. E. Van Vogt,1980,Pocket
VOYAGE SPACE BEAGL,A. E. Van Vogt,1981,Pocket
WEAPON MAKERS,A.E. Van Vogt,1979,Pocket
Slan,A. E. Van Vogt,1975,Berkley Publishing Group
A Suspension of Mercy,Patricia Highsmith,2001,W.W. Norton &amp; Company
The Wild Rose,Doris Mortman,1991,Bantam Dell Pub Group
"The Case of the Disappearing Dinosaur (Jigsaw Jones Mystery, 17)",James Preller,2002,Scholastic
Pale Kings and Princes,Robert B. Parker,1987,Bantam Dell Pub Group
Private Parties,Jonathan Penner,1983,Univ of Pittsburgh Pr
The Chancellor manuscript,Robert Ludlum,1978,Bantam Books
The Sacred Seal,J. C. Mills,2001,Key Porter Books
